dataset,pred_len,mse,mae,timemixerpp_mse,timemixerpp_mae,trial_id,params_json,wrapper,source_log,updated_at
Exchange,96,0.0822763741,0.2032030076,0.0850000000,0.2140000000,r001_0000_Exchange_96,"{""batch_size"": 8, ""can_drop_path"": 0.05, ""d_ff"": 128, ""d_model"": 128, ""dropout"": 0.05, ""e_layers"": 2, ""learning_rate"": 0.0005, ""lradj"": ""cosine"", ""max_train_steps"": 700, ""patience"": 20, ""seq_len"": 96, ""train_epochs"": 20}",run_Exchange_96.sh,/home/c209/??/czw/project/TS-CAN-github/runs/extended_sota_r003_scout_20260723/logs/r001_0000_Exchange_96.log,2026-07-23T20:42:53
Exchange,192,0.1723502427,0.2955634594,0.1750000000,0.3130000000,ex192_01,"{""batch_size"": 8, ""can_drop_path"": 0.05, ""d_ff"": 128, ""d_model"": 128, ""dropout"": 0.05, ""e_layers"": 2, ""learning_rate"": 0.0005, ""lradj"": ""cosine"", ""max_train_steps"": 800, ""patience"": 20, ""seq_len"": 96, ""train_epochs"": 20}",run_Exchange_192.sh,/home/c209/??/czw/project/TS-CAN-github/runs/near_threshold_r004_20260723/logs/ex192_01.log,2026-07-23T21:07:25
Exchange,336,0.3066988587,0.4034065902,0.3160000000,0.4200000000,r001_0017_Exchange_336,"{""batch_size"": 8, ""can_drop_path"": 0.05, ""d_ff"": 192, ""d_model"": 128, ""dropout"": 0.05, ""e_layers"": 2, ""learning_rate"": 0.0005, ""lradj"": ""cosine"", ""max_train_steps"": 700, ""patience"": 20, ""seq_len"": 192, ""train_epochs"": 20}",run_Exchange_336.sh,/home/c209/??/czw/project/TS-CAN-github/runs/extended_sota_r003_scout_20260723/logs/r001_0017_Exchange_336.log,2026-07-23T21:00:55
Exchange,720,0.7915571332,0.6661531925,0.8510000000,0.6890000000,r001_0025_Exchange_720,"{""batch_size"": 8, ""can_drop_path"": 0.05, ""d_ff"": 192, ""d_model"": 128, ""dropout"": 0.05, ""e_layers"": 2, ""learning_rate"": 0.0005, ""lradj"": ""cosine"", ""max_train_steps"": 700, ""patience"": 20, ""seq_len"": 192, ""train_epochs"": 20}",run_Exchange_720.sh,/home/c209/??/czw/project/TS-CAN-github/runs/extended_sota_r003_scout_20260723/logs/r001_0025_Exchange_720.log,2026-07-23T21:01:09
