dataset,pred_len,mse,mae,timemixerpp_mse,timemixerpp_mae,trial_id,params_json,wrapper,source_log,updated_at
Weather,96,0.1512194574,0.1977422535,0.1550000000,0.2050000000,w96r5_07,"{""batch_size"": 64, ""can_drop_path"": 0.05, ""d_ff"": 192, ""d_model"": 128, ""dropout"": 0.05, ""e_layers"": 2, ""learning_rate"": 0.0003, ""lradj"": ""cosine"", ""max_train_steps"": 900, ""patience"": 20, ""seq_len"": 336, ""train_epochs"": 20}",run_Weather_96.sh,/home/c209/??/czw/project/TS-CAN-github/runs/weather96_r005_20260723/logs/w96r5_07.log,2026-07-23T21:30:00
Weather,192,0.1961645037,0.2413318157196045,0.2010000000,0.2450000000,w192_03,"{""batch_size"": 32, ""can_drop_path"": 0.05, ""d_ff"": 192, ""d_model"": 128, ""dropout"": 0.05, ""e_layers"": 2, ""learning_rate"": 0.0003, ""lradj"": ""cosine"", ""max_train_steps"": 900, ""patience"": 20, ""seq_len"": 336, ""train_epochs"": 20}",run_Weather_192.sh,/home/c209/??/czw/project/TS-CAN-github/runs/near_threshold_r004_20260723/logs/w192_03.log,2026-07-23T21:14:12
Weather,336,0.2369910330,0.2745282650,0.2370000000,0.2650000000,r059_0006_Weather_336,"{""batch_size"": 8, ""can_cli_mode"": ""inner"", ""can_context_pyramid"": 0, ""can_cross_var"": 1, ""can_cross_var_context"": ""others_mean"", ""can_cross_var_layers"": 2, ""can_cross_var_shifts"": ""1,2,4"", ""can_drop_path"": 0.05, ""can_periodic_alpha"": 0.18, ""can_periodic_residual"": 1, ""can_periods"": ""24,48,96,168"", ""can_stride"": 8, ""can_temporal_cli_mode"": ""full"", ""d_ff"": 128, ""d_model"": 128, ""dropout"": 0.05, ""e_layers"": 2, ""ema_decay"": 0.997, ""ema_start_epoch"": 1, ""label_len"": 48, ""learning_rate"": 9.2e-05, ""lradj"": ""cosine"", ""max_train_steps"": 4625, ""patch_len"": 16, ""seq_len"": 656, ""weight_averaging"": ""ema""}",run_Weather_336.sh,/home/c209/??/czw/project/TS-CAN-github/runs/extended_sota_r059_weather336_cv2_micro_20260725/logs/r059_0006_Weather_336.log,2026-07-25T01:17:15
Weather,720,0.3111478984,0.3290944993,0.3120000000,0.3340000000,r014_0002_Weather_720,"{""batch_size"": 16, ""can_drop_path"": 0.05, ""can_periodic_alpha"": 0.16, ""can_periodic_residual"": 1, ""can_periods"": ""24,48,96,168"", ""d_ff"": 192, ""d_model"": 128, ""dropout"": 0.05, ""e_layers"": 2, ""label_len"": 48, ""learning_rate"": 0.00015, ""lradj"": ""cosine"", ""max_train_steps"": 1500, ""seq_len"": 720}",run_Weather_720.sh,/home/c209/??/czw/project/TS-CAN-github/runs/extended_sota_r014_refine_20260723/logs/r014_0002_Weather_720.log,2026-07-24T00:18:22
