dataset,pred_len,mse,mae,timemixerpp_mse,timemixerpp_mae,trial_id,params_json,wrapper,source_log,updated_at
Traffic,96,0.3614110947,0.2605766058,0.3920000000,0.2530000000,r026_0001_Traffic_96,"{""batch_size"": 2, ""can_cli_mode"": ""inner"", ""can_context_pyramid"": 0, ""can_drop_path"": 0.05, ""can_stride"": 16, ""can_temporal_cli_mode"": ""full"", ""can_use_gffng"": 1, ""d_ff"": 128, ""d_model"": 128, ""dropout"": 0.05, ""e_layers"": 2, ""label_len"": 48, ""learning_rate"": 0.0002, ""lradj"": ""cosine"", ""patch_len"": 32, ""patience"": 6, ""seq_len"": 384, ""train_epochs"": 24}",run_Traffic_96.sh,/home/c209/??/czw/project/TS-CAN-github/runs/extended_sota_r026_traffic_archive_first_20260724/logs/r026_0001_Traffic_96.log,2026-07-24T07:03:50
Traffic,192,0.3697587848,0.2708889544,0.4020000000,0.2580000000,r026_0002_Traffic_192,"{""batch_size"": 2, ""can_cli_mode"": ""inner"", ""can_context_pyramid"": 0, ""can_drop_path"": 0.05, ""can_stride"": 16, ""can_temporal_cli_mode"": ""full"", ""can_use_gffng"": 1, ""d_ff"": 128, ""d_model"": 128, ""dropout"": 0.05, ""e_layers"": 2, ""label_len"": 48, ""learning_rate"": 0.0003, ""lradj"": ""cosine"", ""patch_len"": 32, ""patience"": 6, ""seq_len"": 768, ""train_epochs"": 12}",run_Traffic_192.sh,/home/c209/??/czw/project/TS-CAN-github/runs/extended_sota_r026_traffic_archive_first_20260724/logs/r026_0002_Traffic_192.log,2026-07-24T08:53:01
Traffic,336,0.3913663924,0.2809727788,0.4280000000,0.2630000000,r026_0004_Traffic_336,"{""batch_size"": 2, ""can_cli_mode"": ""inner"", ""can_context_pyramid"": 0, ""can_drop_path"": 0.05, ""can_stride"": 16, ""can_temporal_cli_mode"": ""full"", ""can_use_gffng"": 1, ""d_ff"": 128, ""d_model"": 128, ""dropout"": 0.05, ""e_layers"": 2, ""label_len"": 48, ""learning_rate"": 0.0001, ""lradj"": ""cosine"", ""patch_len"": 32, ""patience"": 6, ""seq_len"": 1344, ""train_epochs"": 24}",run_Traffic_336.sh,/home/c209/??/czw/project/TS-CAN-github/runs/extended_sota_r026_traffic_archive_first_20260724/logs/r026_0004_Traffic_336.log,2026-07-24T14:32:58
Traffic,720,0.4270187020,0.2918797731,0.4410000000,0.2820000000,r026_0006_Traffic_720,"{""batch_size"": 2, ""can_cli_mode"": ""inner"", ""can_context_pyramid"": 0, ""can_drop_path"": 0.02, ""can_stride"": 8, ""can_temporal_cli_mode"": ""full"", ""can_use_gffng"": 1, ""d_ff"": 128, ""d_model"": 128, ""dropout"": 0.02, ""e_layers"": 2, ""label_len"": 48, ""learning_rate"": 0.00015, ""lradj"": ""cosine"", ""patch_len"": 16, ""patience"": 10, ""seq_len"": 512, ""train_epochs"": 40}",run_Traffic_720.sh,/home/c209/??/czw/project/TS-CAN-github/runs/extended_sota_r026_traffic_archive_first_20260724/logs/r026_0006_Traffic_720.log,2026-07-24T16:19:13
