dataset,pred_len,mse,mae,timemixerpp_mse,timemixerpp_mae,trial_id,params_json,wrapper,source_log,updated_at
ECL,96,0.1345473081,0.2305439264,0.1350000000,0.2220000000,r017_0023_ECL_96,"{""batch_size"": 16, ""can_drop_path"": 0.02, ""can_linear_mode"": ""decomp"", ""can_linear_residual"": 1, ""can_linear_scale_init"": 0.5, ""d_ff"": 64, ""d_model"": 32, ""dropout"": 0.05, ""e_layers"": 3, ""label_len"": 0, ""learning_rate"": 0.0018, ""lradj"": ""type1"", ""max_train_steps"": 2000, ""seq_len"": 336}",run_ECL_96.sh,/home/c209/??/czw/project/TS-CAN-github/runs/extended_sota_r017_ecl_20260724/logs/r017_0023_ECL_96.log,2026-07-24T02:41:16
ECL,192,0.1468018889,0.2430038899,0.1470000000,0.2350000000,r027_0003_ECL_192,"{""batch_size"": 2, ""can_cli_mode"": ""inner"", ""can_context_pyramid"": 0, ""can_drop_path"": 0.03, ""can_stride"": 6, ""can_temporal_cli_mode"": ""full"", ""d_ff"": 128, ""d_model"": 128, ""dropout"": 0.015, ""e_layers"": 2, ""label_len"": 48, ""learning_rate"": 0.00015, ""lradj"": ""cosine"", ""patch_len"": 12, ""patience"": 8, ""seq_len"": 512, ""train_epochs"": 30}",run_ECL_192.sh,/home/c209/??/czw/project/TS-CAN-github/runs/extended_sota_r027_ecl_weather_archive_close_20260724/logs/r027_0003_ECL_192.log,2026-07-24T10:05:37
ECL,336,0.1639380008,0.2656868100,0.1640000000,0.2450000000,r065_0019_ECL_336,"{""batch_size"": 2, ""can_beta_init"": 0.48, ""can_cli_mode"": ""inner"", ""can_context_pyramid"": 0, ""can_drop_path"": 0.05, ""can_stride"": 6, ""can_temporal_cli_mode"": ""full"", ""d_ff"": 128, ""d_model"": 128, ""dropout"": 0.05, ""e_layers"": 2, ""label_len"": 48, ""learning_rate"": 0.0002, ""lradj"": ""cosine"", ""patch_len"": 12, ""patience"": 9, ""seq_len"": 512, ""stop_after_epochs"": 3, ""train_epochs"": 36}",run_ECL_336.sh,/home/c209/??/czw/project/TS-CAN-github/runs/extended_sota_r065_ecl336_epoch3_longcos_20260725/logs/r065_0019_ECL_336.log,2026-07-25T08:46:12
ECL,720,0.2079145610,0.2958192229,0.2120000000,0.3100000000,r016_0034_ECL_720,"{""batch_size"": 16, ""can_drop_path"": 0.02, ""can_linear_mode"": ""decomp"", ""can_linear_residual"": 1, ""can_linear_scale_init"": 0.5, ""can_periodic_alpha"": 0.1, ""can_periodic_residual"": 1, ""can_periods"": ""24,168"", ""d_ff"": 64, ""d_model"": 32, ""dropout"": 0.05, ""e_layers"": 3, ""label_len"": 0, ""learning_rate"": 0.0015, ""lradj"": ""type1"", ""max_train_steps"": 1300, ""seq_len"": 336}",run_ECL_720.sh,/home/c209/??/czw/project/TS-CAN-github/runs/extended_sota_r016_ecl_20260724/logs/r016_0034_ECL_720.log,2026-07-24T03:27:51
